ул Семиозерская д 10	7.8013109771280025	11.897412601661856	3265
ул Полянская дом 20	7.51008852838864	11.99053743255254	4360
ул Комбинатская д 16	7.206042551562141	11.815787130577965	4662
ул Монтажная д 2	7.036404515608844	11.658132377975404	2129
ул Пермская дом 5	6.820814455300494	11.864892221102547	5706
ул Петербургская д 55б	8.43491785050741	5.133525388102804	5521
ул Нахимова д 8	9.98577822273836	5.366338211359897	5337
ул Коротченко дом 1	6.254295146439981	6.355206751745175	2955
ул Владимирская 1-я д 134	12.431208669504768	9.717683506880372	5575
ул Аделя Кутуя д 2	10.44704770121254	6.115973215699309	2517
ул Лебяжья д 4	2.523661518760225	9.604334572541507	2269
ул Межевая д 1	4.550703911944648	9.12448234227974	5612
ул Восход дом 38	4.480243721788671	11.764811208358696	1098
ул Шамиля Усманова д 25А	4.100911428187303	10.68222077184194	4145
ул Декабристов д 133	4.963844260706198	10.57578129763155	5345
ул Маршала Чуйкова д 54	8.482096856205446	11.264272556399288	4883
ул Татарстан д 47	6.686343592307705	4.71055105820041	3428
ул Станционная 5-я дом 102	11.45667716467003	12.74485468381241	2681
ул Мичурина д 23	10.161771392827756	4.467548180626943	1103
ул Гаврилова д 40	9.859059364946798	11.674582262578587	3779
ул Рихарда Зорге д 57/29	12.957533328006049	1.8458668815767953	2346
ул Саид-Галеева д 4а	6.099192120241618	6.423041965571895	3104
ул Яшь кыч д 6	6.619910417842086	1.9014115986188334	2635
ул Тракторная 2-я д 39	6.953554959992559	1.7884893055524702	4023
ул Столбищенская 1-я д 9	6.196073308656149	0.7608407487626737	5147
ул Петрова дом 14	4.331823024750677	9.689894824392136	1453
ул Чистопольская д 43А	7.800398606383476	9.531096152156683	1394
ул Каспийская д 79	12.597071378247104	8.649766779640242	3074
ул Яснополянская дом 24	12.44411399634863	11.206322701961847	5504
ул Профессора Камая д 15А	11.477523263079142	1.9636654555316673	5636
ул Ново-Азинская д 47	12.252384004005572	8.960463282378614	5860
пр-кт Фатыха Амирхана д 32	8.485054195848628	11.885858985867701	4470
ул Маршала Чуйкова д 59	8.751296562887013	11.467327219382364	2097
ул Маршала Чуйкова д 59А	8.604159477104472	11.621725463208666	4501
ул Спартаковская д 139	9.184156704104874	4.132875029385524	5297
ул Вишневского д 55	9.298228215744349	5.425251102425258	3503
ул Восход д 45	4.302086030762247	12.265328921140046	5630
ул Гаврилова д 8	9.735367061136175	10.78503295048116	5733
ул Гаврилова д 10	9.842202528957449	10.793794000177556	2429
ул Гаврилова д 10	9.842202528957449	10.793794000177556	3075
ул Гаврилова д 10	9.842340957621907	10.828636712300128	5832
ул Гаврилова д 16	9.723160169826981	10.945457060247326	2443
ул Гаврилова д 16	9.675175760992243	10.94551307919901	1436
ул Гаврилова д 24	9.7358641458868	11.266703957314833	3420
ул Гаврилова д 24	9.676195099338276	11.16021659144793	1666
ул Гарифьянова д 9а	12.26243266659538	1.9012774317832468	2999
ул Дачная (Вахитовский р-н) д 1	10.307184412517213	3.7119104245931016	1297
ул Дачная (Вахитовский р-н) д 1	10.319473102583132	3.7098187903630078	2450
ул Декабристов д 83	5.604454366056284	9.239980281026991	1123
ул Декабристов д 106А	5.300056025356523	10.391375265422848	4813
ул Карбышева д 62	11.073122796807166	2.1537867218446856	1832
ул Кирпичная д 9	10.421218170886622	5.492568307262563	5701
ул Лушникова д 2	5.009374706849707	9.389102916997007	1067
ул Маршала Чуйкова д 27	7.788084747467513	11.389676349430253	2213
ул Маршала Чуйкова д 27	7.788084747467513	11.389676349430253	3182
ул Адоратского д 6	9.200736682764779	10.617691320221947	5098
ул Адоратского д 33	9.092932214297562	12.018419237231386	4605
ул Адоратского д 35	8.906984764800368	12.033682583694501	5996
ул Маршала Чуйкова д 25А	7.554958292272284	11.451236680135297	3926
ул Маршала Чуйкова д 25А	7.705744861026613	11.45114703940981	1456
ул Маршала Чуйкова д 25А	7.649077199608981	11.430966719099578	5495
ул Маршала Чуйкова д 33	7.894687403447583	11.514041663397418	3717
ул Маршала Чуйкова д 33	7.894687403447583	11.514041663397418	2066
ул Маршала Чуйкова д 69	8.837556497416237	11.367266543277447	3565
ул Маршала Чуйкова д 69	8.837556497416237	11.367266543277447	5352
ул Мусина д 72	7.6128781038824185	11.683132193069214	3815
ул Мусина д 72	7.60080334902583	11.683132193069214	1693
ул Адоратского д 27А	8.996390805337324	11.55163544513239	3572
ул Рихарда Зорге д 24	12.077045223968925	2.479250542744406	3937
ул Сыртлановой д 9	12.082953611049225	2.0380962061574355	2979
пр-кт Ямашева д 104корп2	9.81317655492371	10.462746117328116	1574
ул Адоратского д 27Б	8.982334003689559	11.537191774973545	4653
ул Можайского д 17	1.9181493720328902	9.705374028323028	1456
ул Братьев Касимовых д 38	12.420373480410131	2.4015695246157422	4520
ул Братьев Касимовых д 38	12.445045243725032	2.392691143112013	1739
ул Гаврилова д 18	9.802618223163782	10.953389350491625	1024
ул Гаврилова д 20	9.801523378272877	11.060140559652487	2461
ул Голубятникова д 26	7.204746355887192	11.45231236892855	3802
ул Голубятникова д 26	7.204563881735022	11.466610091020051	5155
ул Дачная (Вахитовский р-н) д 3	10.341244156162057	3.762445507278161	1198
ул Декабристов д 85	5.479144963759349	9.457175764752987	5935
ул Космонавтов д 49	12.074226312984411	7.1804483199996145	5182
ул Магистральная д 34	6.420485050206059	1.8628499838692838	2778
ул Маршала Чуйкова д 35	7.950857980114063	11.449365430469033	1957
ул Маршала Чуйкова д 35	7.936631288745206	11.411212281747721	3724
